,place_name,bedroom,area,kecamatan,city,final_price,date,final_mortage_monthly
18954,Apartemen Puri Orchard 2 Kamar Tidur Bagus Furnished,2.0,50.0,Puri Indah,Jakarta Barat,810000000.0,02/05/2023,5000000.0
18965,Apartemen The Kesington full Furnished Dijual,1.0,31.0,Kelapa Gading,Jakarta Utara,1350000000.0,02/05/2023,9000000.0
18977,"LUXURY APARTMENT, TOWER TERRACE, TYPICAL UNIT, LE PARC THAMRIN NINE, JAKARTA PUSAT",3.0,193.0,Thamrin,Jakarta Pusat,13500000000.0,26/05/2023,96000000.0
18990,"LUXURY APARTMENT, TOWER TOWNHOME TRIPLEX UNIT, LE PARC RESIDENCES, THAMRIN NINE, JAKARTA PUSAT",4.0,635.0,Thamrin,Jakarta Pusat,44400000000.0,02/05/2023,318000000.0
19004,"LUXURY APARTMENT, TOWER THE MANSION SIMPLEX UNIT, LE PARC RESIDENCES, THAMRIN NINE",4.0,496.0,Thamrin,Jakarta Pusat,34700000000.0,02/05/2023,248000000.0
19019,"LUXURY APARTMENT, TOWER THE MANSION SIMPLEX UNIT, LE PARC RESIDENCES, THAMRIN NINE, JAKARTA PUSAT",4.0,647.0,Thamrin,Jakarta Pusat,45200000000.0,02/05/2023,324000000.0
19035,"LUXURY APARTMENT, TOWER THE MANSION, LE PARC, THAMRIN NINE, JAKARTA PUSAT, TRIPLEX UNIT",4.0,1500.0,Thamrin,Jakarta Pusat,105000000000.0,26/05/2023,752000000.0
19052, Apartemen Bassura City 2 BR Furnished Bagus,2.0,35.0,Cipinang,Jakarta Timur,700000000.0,02/05/2023,5000000.0
19070,APARTEMENT OSAKA RIVERVIEW PIK2 JAKARTA BARAT SUPER FULL FURNISH,1.0,14.0,Pantai Indah Kapuk,Jakarta Utara,290000000.0,02/05/2023,2000000.0
19089,APARTEMENT TOKYO RIVERSIDE PIK2 JAKARTA UTARA,1.0,21.0,Pantai Indah Kapuk,Jakarta Utara,390000000.0,02/05/2023,2000000.0
19109,Dijual Apartement Anandamaya Residences 3 BR Furnished Contact +62 81977403529,3.0,214.0,Sudirman,Jakarta Selatan,16000000000.0,11/05/2023,114000000.0
19110,dijual apartemen ready unit 5 juta all in one jakarta timur,2.0,42.0,Pulo Gadung,Jakarta Timur,82300000.0,02/05/2023,590000.0
19112,Apartemen Dijual di Ancol Mansion Full Fusnihed Lantai 52,1.0,66.0,Pademangan,Jakarta Utara,1050000000.0,02/05/2023,7000000.0
19115,Dijual Apartment Gandaria Heights Full Furnished,3.0,117.0,Gandaria,Jakarta Selatan,3250000000.0,02/05/2023,23000000.0
19119,Jual Apartemen Green Bay Pluit Furnished,1.0,21.0,Penjaringan,Jakarta Utara,335000000.0,02/05/2023,2000000.0
19124,Dijual Middle Floor Puri Orchard,2.0,50.0,Cengkareng,Jakarta Barat,950000000.0,02/05/2023,6000000.0
19130,Apartemen Basura Bagus Siap Huni Di Cipinang Jakarta Timur,2.0,34.0,Cipinang,Jakarta Timur,500000000.0,02/05/2023,3000000.0
19137,Dijual Apartement Pakubuwono View 2 BR Unfurnished Contact+62 81977403529 ,2.0,153.0,Kebayoran Lama,Jakarta Selatan,4900000000.0,11/05/2023,35000000.0
19145,Apartemen Nifarro Park Tipe 2BR Furnished Di Jakarta Selatan **,2.0,51.0,Pasar Minggu,Jakarta Selatan,980000000.0,02/05/2023,7000000.0
